اسم المنتج,Slug,الوصف,السعر,القسم
مشترك  الوسام 2C+2A,مشترك-الوسام-2c2a,"الخامة: (P.C) Anti Fire


المخارج : USB 2C+2A 


الابعاد: (161x97x30) mm


السلك: 2 متر


220V



وزن المنتج: 417جرام


موديل: WS3342",388.00,قسم المشترك
مشترك  الوسام 6A,مشترك-الوسام-6a,"الخامة: (P.C) Anti Fire


المخارج : 6USB Type A 


الابعاد: (161x97x30) mm


السلك: 2 متر


220V


وزن المنتج: 417جرام


موديل: WS3341",344.00,قسم المشترك
مشترك  الوسام1C+3A,مشترك-الوسام1c3a,"الخامة: (P.C) Anti Fire


المخارج : USB 1C+3A 


الابعاد: (161x97x30) mm


السلك: 2 متر


220V




وزن المنتج: 417جرام


موديل: WS3343",388.00,قسم المشترك
مشترك  2EU   2UK,مشترك-2eu-2uk,"خامة القاعدة: PA+Fiber


خامة الوش: PA+Fiber


الابعاد: (260x50x45) mm


السلك: (2-3-6) متر


الفولت: 250V


اللون: (أسود-أبيض)


وزن المنتج: 360جرام


موديل: WS3582",173.00,قسم المشترك
مشترك الوسام USB,مشترك-الوسام-usb,"الخامة: PA + Fiber


المخارج : 4USB 


الابعاد: (220x70x35) mm


السلك: 2 متر


180-240V


اللون: (أبيض-أسود)


وزن المنتج: 347جرام


موديل: WS3310",232.00,قسم المشترك
مشترك  رباعي  4way,مشترك-رباعي-4way,"خامة القاعدة: PA+Fiber


خامة الوش: PA+Fiber


الابعاد: (225x55x40) mm


السلك: (2-3-4-6) متر


الفولت: 250V


اللون: (أسود-أبيض)


وزن المنتج: 310جرام


موديل: WS3162",154.00,قسم المشترك
مشترك مودرن,مشترك-مودرن,"خامة القاعدة: PA+Fiber


خامة الوش: PA+Fiber


الابعاد: (342x87x30) mm


السلك: (2-3-4-6) متر


الفولت: 250V


اللون: (أسود-أبيض)


وزن المنتج: 483جرام


موديل: WS3720",607.00,قسم المشترك
مشترك ميني ثلاثي,مشترك-ميني-ثلاثي,"خامة القاعدة: PA

خامة الوش: PA

خامة السلك: PVC

طول السلك: 1.5متر

الطول: 7 سم

العرض: 4 سم

الارتفاع: 2.5 سم

220V

اللون: (أبيض)

وزن المنتج: 167جرام

موديل: WS3730",125.00,قسم المشترك
مشترك ميني uk,مشترك-ميني-usb,"خامة القاعدة: PA

خامة الوش: PA

خامة السلك: PVC


الطول: 7 سم

العرض: 4 سم

الارتفاع: 2.5 سم

220V

اللون: (أبيض)

وزن المنتج: 167جرام",413.00,قسم المشترك
مشترك ميني EU+UK,مشترك-ميني-euuk,"خامة القاعدة: PA

خامة الوش: PA

خامة السلك: PVC

طول السلك: 1.5متر

220V

اللون: (أبيض)",413.00,قسم المشترك
وصلة كهرباء فيشة 16 A,وصلة-كهرباء-فيشة-16-a,"خامة الفيشة: PA



خامة السلك: PVC



الطول: (3-6) متر



اللون: أبيض



وزن المنتج: 122جرام



موديل: WS3018",93.00,قسم المشترك
مشترك ثلاثي امان,مشترك-ثلاثي-امان,"خامة القاعدة: PA + Fiber


خامة الوش: PA + Fiber


الطول: 4.7سم


العرض: 3.5سم


الارتفاع: 6.2سم


110-220V


اللون: (أسود-أبيض)


وزن المنتج: 75جرام


موديل: WS3020",32.00,قسم المشترك
مشترك خماسي,مشترك-خماسي,"خامة القاعدة: PA + Fiber


خامة الوش: PA + Fiber


الطول: 5سم


العرض: 3.5سم


الارتفاع: 4.5سم


Maximum 250V


اللون: أبيض


وزن المنتج: 62جرام


موديل: WS3236",17.00,قسم المشترك
مشترك ثلاثي,مشترك-ثلاثي,"خامة القاعدة: PA + Fiber


خامة الوش: PA + Fiber


الطول: 5سم


العرض: 3.5سم


الارتفاع: 4.5سم


Maximum 220V


اللون: أبيض",16.00,قسم المشترك
مشترك  الوسام 3S,مشترك-الوسام-3s,"الخامة: (P.C) Anti Fire


المخارج : 3Socket


الابعاد: (161x97x30) mm


السلك: 2 متر


180-240V


اللون: أسود


وزن المنتج: 417جرام


موديل: WS3344",200.00,قسم المشترك
مشترك  الوسام 3S - فيشة ثنائية - الابيض - 2 متر,مشترك-الوسام-3s-فيشة-ثنائية-الابيض-2-متر-2,"الخامة: (P.C) Anti Fire


المخارج : 3Socket


الابعاد: (161x97x30) mm


السلك: 2 متر


220V




وزن المنتج: 417جرام


موديل: WS3344",200.00,قسم المشترك
مشترك  الوسام 3S - فيشة ثلاثية - الابيض - 2 متر,مشترك-الوسام-3s-فيشة-ثلاثية-الابيض-2-متر-2,"الخامة: (P.C) Anti Fire


المخارج : 3Socket


الابعاد: (161x97x30) mm


السلك: 2 متر


220V




وزن المنتج: 417جرام


موديل: WS3344UK",240.00,قسم المشترك
مشترك  الوسام1C+3A - فيشة ثنائية - الابيض - 2 متر,مشترك-الوسام1c3a-فيشة-ثنائية-الابيض-2-متر-2,"الخامة: (P.C) Anti Fire


المخارج : USB 1C+3A 


الابعاد: (161x97x30) mm


السلك: 2 متر


220V




وزن المنتج: 417جرام


موديل: WS3343",388.00,قسم المشترك
مشترك  الوسام1C+3A - فيشة ثلاثية - الابيض - 2 متر,مشترك-الوسام1c3a-فيشة-ثلاثية-الابيض-2-متر-2,"الخامة: (P.C) Anti Fire


المخارج : USB 1C+3A 


الابعاد: (161x97x30) mm


السلك: 2 متر


220V




وزن المنتج: 417جرام


موديل: WS3343UK",428.00,قسم المشترك
مشترك  الوسام 2C+2A - فيشة ثنائية - الابيض - 2 متر,مشترك-الوسام-2c2a-فيشة-ثنائية-الابيض-2-متر-3,"الخامة: (P.C) Anti Fire


المخارج : USB 2C+2A 


الابعاد: (161x97x30) mm


السلك: 2 متر


220V




وزن المنتج: 417جرام


موديل: WS3342",388.00,قسم المشترك
مشترك  الوسام 2C+2A - فيشة ثلاثة- الابيض - 2 متر,مشترك-الوسام-2c2a-فيشة-ثلاثية-الابيض-2-متر-5,"الخامة: (P.C) Anti Fire


المخارج : USB 2C+2A 


الابعاد: (161x97x30) mm


السلك: 2 متر


220V



وزن المنتج: 417جرام


موديل: WS3342UK",428.00,قسم المشترك
مشترك  الوسام 6A - فيشة ثنائية - الابيض - 2 متر,مشترك-الوسام-6a-فيشة-ثنائية-الابيض-2-متر-2,"الخامة: (P.C) Anti Fire


المخارج : 6USB Type A 


الابعاد: (161x97x30) mm


السلك: 2 متر


220V




وزن المنتج: 417جرام


موديل: WS3341",344.00,قسم المشترك
مشترك  الوسام 6A - فيشة ثلاثية - الابيض - 2 متر,مشترك-الوسام-6a-فيشة-ثلاثية-الابيض-2-متر-2,"الخامة: (P.C) Anti Fire


المخارج : 6USB Type A 


الابعاد: (161x97x30) mm


السلك: 2 متر


220V




وزن المنتج: 417جرام


موديل: WS3341UK",384.00,قسم المشترك
مشترك مودرن - فيشة ثنائية - الابيض - 3 متر,مشترك-مودرن-فيشة-ثنائية-الابيض-3-متر-2,"خامة القاعدة: PA+Fiber


خامة الوش: PA+Fiber


الابعاد: (342x87x30) mm


السلك: (3) متر


الفولت: 220V


اللون: (أبيض)


وزن المنتج: 483جرام


موديل: WS3720WE",607.00,قسم المشترك
مشترك مودرن - فيشة ثلاثية - الابيض - 3 متر,مشترك-مودرن-فيشة-ثلاثية-الابيض-3-متر-2,"خامة القاعدة: PA+Fiber


خامة الوش: PA+Fiber


الابعاد: (342x87x30) mm


السلك: (3) متر


الفولت: 220V


اللون: (أبيض)


وزن المنتج: 483جرام

موديل: WS3720UK",647.00,قسم المشترك
مشترك مودرن - فيشة ثنائية - الاسود - 3 متر,مشترك-مودرن-فيشة-ثنائية-الاسود-3-متر-2,"خامة القاعدة: PA+Fiber


خامة الوش: PA+Fiber


الابعاد: (342x87x30) mm


السلك: (2-3-4-6) متر


الفولت: 250V


اللون: (أسود-أبيض)


وزن المنتج: 483جرام


موديل: WS3720",607.00,قسم المشترك
مشترك مودرن - فيشة ثلاثية - الاسود - 3 متر,مشترك-مودرن-فيشة-ثلاثية-الاسود-3-متر-1,"خامة القاعدة: PA+Fiber


خامة الوش: PA+Fiber


الابعاد: (342x87x30) mm


السلك: (2-3-4-6) متر


الفولت: 220V


اللون: (أسود-أبيض)


وزن المنتج: 483جرام


موديل: WS3720BKUK",647.00,قسم المشترك
مشترك  2EU   2UK - فيشة ثنائية - الابيض - 2 متر,مشترك-2eu-2uk-فيشة-ثنائية-الابيض-2-متر-2,"خامة القاعدة: PA+Fiber


خامة الوش: PA+Fiber


الابعاد: (260x50x45) mm


السلك: (2) متر


الفولت: 220V


اللون: (أبيض)


وزن المنتج: 360جرام


موديل: WS3582WE",173.00,قسم المشترك
مشترك  2EU   2UK - فيشة ثلاثية - الابيض - 2 متر,مشترك-2eu-2uk-فيشة-ثلاثية-الابيض-2-متر-2,"خامة القاعدة: PA+Fiber


خامة الوش: PA+Fiber


الابعاد: (260x50x45) mm


السلك: (2) متر


الفولت: 220V


اللون: (أبيض)


وزن المنتج: 360جرام


موديل: WS3582WEUK",213.00,قسم المشترك
مشترك  2EU   2UK - فيشة ثنائية - الابيض - 3 متر,مشترك-2eu-2uk-فيشة-ثنائية-الابيض-3-متر-2,"خامة القاعدة: PA+Fiber


خامة الوش: PA+Fiber


الابعاد: (260x50x45) mm


السلك: (3) متر


الفولت: 220V


اللون: (أسود-أبيض)


وزن المنتج: 360جرام


موديل: WS3583WE",192.00,قسم المشترك
مشترك  2EU   2UK - فيشة ثلاثية - الابيض - 3 متر,مشترك-2eu-2uk-فيشة-ثلاثية-الابيض-3-متر-2,"خامة القاعدة: PA+Fiber


خامة الوش: PA+Fiber


الابعاد: (260x50x45) mm


السلك: (3) متر


الفولت: 220V


اللون: (أبيض)


وزن المنتج: 360جرام


موديل: WS3583WEUK",232.00,قسم المشترك
مشترك  2EU   2UK - فيشة ثنائية - الابيض - 6 متر,مشترك-2eu-2uk-فيشة-ثنائية-الابيض-6-متر-2,"خامة القاعدة: PA+Fiber


خامة الوش: PA+Fiber


الابعاد: (260x50x45) mm


السلك: (6) متر


الفولت: 220V


اللون: (أسود-أبيض)


وزن المنتج: 360جرام


موديل: WS3586WE",248.00,قسم المشترك
مشترك  2EU   2UK - فيشة ثلاثية - الابيض - 6 متر,مشترك-2eu-2uk-فيشة-ثلاثية-الابيض-6-متر-2,"خامة القاعدة: PA+Fiber


خامة الوش: PA+Fiber


الابعاد: (260x50x45) mm


السلك: (6) متر


الفولت: 220V


اللون: (أبيض)


وزن المنتج: 360جرام


موديل: WS3586WEUK",288.00,قسم المشترك
مشترك  2EU   2UK - فيشة ثنائية - الاسود - 2 متر,مشترك-2eu-2uk-فيشة-ثنائية-الاسود-2-متر-2,"خامة القاعدة: PA+Fiber


خامة الوش: PA+Fiber


الابعاد: (260x50x45) mm


السلك: (2) متر


الفولت: 220V


اللون: (أسود)


وزن المنتج: 360جرام


موديل: WS3582BK",173.00,قسم المشترك
مشترك  2EU   2UK - فيشة ثلاثية - الاسود - 2 متر,مشترك-2eu-2uk-فيشة-ثلاثية-الاسود-2-متر-2,"خامة القاعدة: PA+Fiber


خامة الوش: PA+Fiber


الابعاد: (260x50x45) mm


السلك: (2) متر


الفولت: 220V


اللون: (أسود)


وزن المنتج: 360جرام


موديل: WS3582BKUK",213.00,قسم المشترك
مشترك  2EU   2UK - فيشة ثنائية - الاسود - 3 متر,مشترك-2eu-2uk-فيشة-ثنائية-الاسود-3-متر-2,"خامة القاعدة: PA+Fiber


خامة الوش: PA+Fiber


الابعاد: (260x50x45) mm


السلك: (3) متر


الفولت: 220V


اللون: (أسود)


وزن المنتج: 360جرام


موديل: WS3583BK",192.00,قسم المشترك
مشترك  2EU   2UK - فيشة ثلاثية - الاسود - 3 متر,مشترك-2eu-2uk-فيشة-ثلاثية-الاسود-3-متر-2,"خامة القاعدة: PA+Fiber


خامة الوش: PA+Fiber


الابعاد: (260x50x45) mm


السلك: (3) متر


الفولت: 220V


اللون: (أسود)


وزن المنتج: 360جرام


موديل: WS3583BKUK",232.00,قسم المشترك
مشترك  2EU   2UK - فيشة ثنائية - الاسود - 6 متر,مشترك-2eu-2uk-فيشة-ثنائية-الاسود-6-متر-2,"خامة القاعدة: PA+Fiber


خامة الوش: PA+Fiber


الابعاد: (260x50x45) mm


السلك: (6) متر


الفولت: 220V


اللون: (أسود)


وزن المنتج: 360جرام


موديل: WS3586BK",248.00,قسم المشترك
